what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918305030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918305310
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436918309098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918310598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918310742
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1436918312682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918313566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918314698
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1436918314754
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1436918314754
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436918343208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918349801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918351129
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436918356413
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436918358913
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436918360438
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1436918361494
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436918364522
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436918364742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918383083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918384391
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1436918384467
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1436918384467
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1436918386883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918387951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918389963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1436918389979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918392720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918393868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1436918393880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436918464567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437012709149
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437012718469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437012733390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437012733606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072481755
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1437072488138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072492003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072507320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072515746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072523512
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437072523934
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437072524137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072551612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072556642
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1437072628651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072631439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072639860
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437072640063
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437072640126
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1437072689680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072693615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072701083
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437072701271
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437072701427
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1437072771205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072777122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072788912
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437072789402
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437072789543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1437072800705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072837925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072838191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072856521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072856739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072873103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072873385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072886312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072890821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072897068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072897287
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072943152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072943380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072953998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072954233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072989991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437072991352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073053369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073053619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073070183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073070385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1437073086627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073109627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073116431
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437073137565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073197605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073214717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073223273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073223321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073223381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073225473
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437073240647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073241872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073242122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1437073256387
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437073258788
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437073264485
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437073286527
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1437073293982
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437073295918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1437073297465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1437073311569
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437073323719
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437073336938
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437073338342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073342475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437073397134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1437073400504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1437073401097
