what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435260920885
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1435260972315
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1435260972405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435260987186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435260990177
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435260993395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435260995237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261001143
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261004966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261034162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261036912
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1435261037302
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435261037342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435261051962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261053732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261059700
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1435261059849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435261064018
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435261076010
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1435261080314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435261080324
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1435261081784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435261084045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261085190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261101851
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1435261103382
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Jsp Servlet",1435261103392
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1435261103472
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Jsp Servlet",1435261103482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435261103522
started,bundle,org.eclipse.wst.html.core,1.1.501.v201109080146,"org.eclipse.wst.html.core",1435261103612
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1435261103692
error,log,,,"[Working copy] __2F_Jsp_20_Servlet_2F_WebContent_2F_index_2E_jsp.java [in <default> [in src [in Jsp Servlet]]] does not exist",1435261104232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261116386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261124857
executed,command,,,"AUTOGEN:::org.eclipse.core.runtime.xml.source.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1435261125397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261137143
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261155828
executed,command,,,"AUTOGEN:::org.eclipse.core.runtime.xml.source.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1435261156378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261157799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435261165064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261182067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261196761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261247657
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1435261247937
executed,command,,,"AUTOGEN:::org.eclipse.core.runtime.xml.source.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1435261252064
executed,command,,,"AUTOGEN:::org.eclipse.core.runtime.xml.source.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1435261253324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261289266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261293602
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1435261302057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435261304761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435261309538
error,log,,,"[Working copy] __2F_Jsp_20_Servlet_2F_WebContent_2F_login_2E_jsp.java [in <default> [in src [in Jsp Servlet]]] does not exist",1435261309688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261314492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435261535565
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435261554439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435262027241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435262287030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435262288822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435262299287
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1435262355800
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1435262355810
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1435262355820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435262415736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435262422672
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1435262424572
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1435262424592
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1435262424632
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1435262424662
