what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437418279907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437418281263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437418281979
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437418283567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437418285427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437418286675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1437418314061
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437418315401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1437418318649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1437418333802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437418349557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437418349661
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1437418349870
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437418351434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437418378491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437418378711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1437418395397
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1437418404101
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437418422138
