what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540315214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540316558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540317079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540323359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540323863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540324903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540326603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540327723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540328347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540329367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540330103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540331600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540332680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540333884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540334652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540337938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540341470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540380108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540394222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540399746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540436000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1437540741992
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437540745612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1437540749160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1437540752813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1437540754581
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437540757645
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1437540757917
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1437540833196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1437540852581
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437540855581
