what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192688735
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1435192713614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192757622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192758735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192758855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192760744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192760769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192762078
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1435192762084
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192765109
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192765147
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192769607
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192769607
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192770490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192771939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192773268
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192775271
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192775271
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1435192782019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192785331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192786476
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1435192786487
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192786655
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192786701
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192825455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435192837551
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192842450
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192843572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192845022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192845989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192848976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435192857328
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192892480
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435192892480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435192918916
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435192924083
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192924407
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192924450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435192938931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435192943645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435192957075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435192959894
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435192970791
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192971039
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435192978911
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192979230
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192979262
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435192989209
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192989514
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435192989533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435193007273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435193015032
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435193017732
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193018034
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193018051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435193027690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435193029239
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193041880
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193042344
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193043366
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193045151
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193046887
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435193047678
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193048694
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193051295
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1435193052811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435193055739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435193057087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435193057106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435193058150
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1435193058157
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435193061427
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435193061482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435193116297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435193129344
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193153000
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193172798
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193173861
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193174692
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193176197
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435193180428
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435193181581
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435193196694
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1435194619361
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435194621101
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435194621837
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435194622545
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1435194624718
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435194641292
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435195599714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435195616310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435195621066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435195623744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435195799701
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435195802404
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1435195803779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435195805678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435195815227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435195816777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435197148406
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435197154102
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1435197181440
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1435197181480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435197191334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435197216930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1435197222605
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1435197234581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1435197341889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435197344402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1435197349362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435197351993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435197361801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435197363707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435197397880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198452070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198453470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198569042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198570836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198750525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198755968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198758736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198760469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198778369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198780318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198782287
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435198784300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435210843368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435210846301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435210849499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210850692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210851108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210851451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210851779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210852248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210852652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210853090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210853590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210854043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210854431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210854821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210855196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210855634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210856118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210856946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210857353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210857649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210858118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210858478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210858993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210859478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210859868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210860346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1435210860825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435210868646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435210874712
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435210887408
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435210904027
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435210904308
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1435210921454
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1435210921559
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435210972105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211013407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211024787
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435211024818
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211025084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211037266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211080565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211115742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211142624
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211157039
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211161586
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211191821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211251933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211256863
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435211256894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211259258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211293072
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211293166
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211293181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211313163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211316728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211390411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211392742
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211392757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435211405790
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211407096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435211408945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211411442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211413567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211427392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211430760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211455078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211459577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211484305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211494022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211514308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211516667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211559230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211563549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211566620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211574771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211585284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211621289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435211649276
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1435211673286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211675208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211675442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211683874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211696859
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211696952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211707023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211750922
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211751016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211763120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211803949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211845381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211847896
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1435211904254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211930188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435211967430
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435211984745
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211988382
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1435211995701
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435211997045
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1435211997904
