what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435273394577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435273411976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435273429158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435273442105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435273450854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435277865491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435277868571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278053646
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1435278063392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278066252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278066502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278078291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278082982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1435278084992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435278087633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278128374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278140614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278153184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278153414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435278175108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278176918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278245071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1435278263293
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435278267624
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278271293
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278271313
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278291262
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278297468
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435278304905
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278305245
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278305265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278315977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278338919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278339029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278340339
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278340359
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278350160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1435278355782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435278360283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278364064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278378483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278378593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435278382906
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435278382986
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435278386775
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1435278387085
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1435278403109
