what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1435105269528
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1435105269528
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1435105269559
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1435105372837
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.503.v201108102200,"org.eclipse.jst.j2ee.ejb",1435105379634
started,bundle,org.eclipse.jst.j2ee.jca,1.1.500.v201108102200,"org.eclipse.jst.j2ee.jca",1435105379649
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1435105379712
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1435105379806
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1435105379868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435105397765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435105398058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435105515947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435105522998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435105832840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435105838185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435105842012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435106233410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435106242419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435118856569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124106720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124111551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124112731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124308523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124309398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124710333
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1435124716030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124721295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124834380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124839030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1435124848961
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1435124853822
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1435124853824
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1435124853825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1435124903436
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1435124910129
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1435124910147
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1435124910156
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1435124910162
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1435124910167
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1435124910178
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1435124910188
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1435124910219
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1435124910221
